"","k_CCAplus","intercept_CCAplus","k_GScore","intercept_Gscore"
"131",0.486321,0.0413422,0.281836,1.99844
"132",0.454059,0.060832,0.28163,1.77691
"133",0.452155,0.0882589,0.295468,1.79137
"134",0.449233,-0.0464033,0.273393,1.88721
"135",0.434449,-0.0378608,0.274125,2.01706
"136",0.420786,-0.0730267,0.300145,2.0125
"137",0.435379,-0.127041,0.291481,2.00361
"138",0.422599,-0.0813075,0.286957,1.88167
"139",0.423061,-0.0875751,0.286697,1.92596
"140",0.452973,0.00673077,0.284224,1.90195
"141",0.422176,-0.0121714,0.287196,1.92651
"142",0.427516,-0.110847,0.305119,1.98001
"143",0.453486,-0.0779261,0.289812,1.9746
"144",0.426848,0.0148358,0.295541,2.02116
"145",0.401648,0.0629859,0.293571,2.08452
"146",0.410392,-0.0240298,0.319462,2.08382
"147",0.398227,-0.0152945,0.316515,2.1071
"148",0.425878,0.0302051,0.306663,2.08311
"149",0.373098,0.037493,0.297926,1.95793
"150",0.391497,0.0480606,0.280909,1.98523
"151",0.411816,0.0534055,0.288677,1.96636
"152",0.455827,0.00308673,0.289443,1.93956
"153",0.433379,-0.03138,0.292288,1.94258
"154",0.476867,-0.0219958,0.289509,1.9449
"155",0.479878,0.176536,0.291477,2.07323
"156",0.504056,0.158726,0.265865,2.01254
"157",0.550332,0.045651,0.30065,1.96925
"158",0.544358,0.12202,0.265919,1.89132
"159",0.503834,0.165935,0.270723,1.9793
"160",0.513397,0.0585368,0.277713,1.82601
"161",0.490662,0.0913626,0.297521,1.75238
"162",0.465362,0.0969402,0.311315,1.80599
"163",0.471532,0.0632635,0.286665,1.82745
"164",0.40624,0.111226,0.291732,1.85105
"165",0.449008,0.126282,0.290986,1.79622
"166",0.47448,0.0825278,0.29456,1.87506
"167",0.500477,0.0820636,0.266921,1.86116
"168",0.433405,0.0345467,0.288307,1.80081
"169",0.430254,0.067375,0.306076,1.71658
"170",0.393389,0.0341519,0.283432,1.68043
"171",0.391701,-0.0435935,0.297722,1.67926
"172",0.384396,-0.108923,0.295013,1.66388
"173",0.430696,0.0938032,0.295604,1.64397
"174",0.428707,0.04393,0.291886,1.6933
"175",0.488965,0.0664176,0.283056,1.73613
"176",0.425938,0.0272949,0.296566,1.65342
"177",0.420554,-0.0697842,0.315018,1.63532
"178",0.449004,-0.0300363,0.317277,1.58758
"179",0.445314,0.0267849,0.285639,1.64574
"180",0.463267,0.0755545,0.278278,1.69149
"181",0.459931,0.113101,0.27866,1.70864
"182",0.465281,0.139778,0.282871,1.70669
"183",0.460928,0.127176,0.281162,1.79369
"184",0.416387,0.175283,0.288433,1.72007
"185",0.429216,0.0106756,0.269775,1.59398
"186",0.428049,-0.00166852,0.285768,1.68121
"187",0.465822,0.153206,0.300844,1.67754
"188",0.515888,0.133295,0.303841,1.5827
"189",0.447404,-0.0803418,0.295802,1.5765
"190",0.382445,-0.264146,0.313869,1.57743
"191",0.374848,-0.0871366,0.323126,1.58254
"192",0.391006,-0.14644,0.320509,1.57749
"193",0.36147,-0.149578,0.331279,1.5865
"194",0.409973,-0.138922,0.307878,1.62338
"195",0.414611,-0.0833776,0.31454,1.68517
"196",0.422009,0.0191432,0.313658,1.69996
"197",0.375443,-0.0201182,0.322075,1.72697
"198",0.394818,-0.120144,0.336639,1.69269
"199",0.382903,-0.0999805,0.322069,1.71223
"200",0.373404,-0.0528238,0.323052,1.66427
"201",0.413774,-0.130273,0.307091,1.7807
"202",0.439766,-0.104215,0.304716,1.80435
"203",0.436891,-0.108836,0.306675,1.86315
"204",0.439815,-0.0664365,0.320387,1.75808
"205",0.407491,-0.071153,0.324843,1.70856
"206",0.423118,-0.0756805,0.319167,1.71154
"207",0.417491,0.0320578,0.309023,1.98232
"208",0.488995,-0.141682,0.293084,1.9769
"209",0.460379,-0.201257,0.291662,1.96247
"210",0.44433,-0.095659,0.29005,2.02731
"211",0.427324,-0.0347067,0.263453,2.02103
"212",0.450971,-0.0167842,0.26188,2.03642
"213",0.444227,-0.0243615,0.265217,1.78858
"214",0.438691,-0.0832528,0.271903,1.79647
"215",0.407459,-0.0860889,0.26977,1.87951
"216",0.383403,-0.110723,0.27848,1.88281
"217",0.358576,-0.10117,0.285263,1.94152
"218",0.370285,-0.0747738,0.283766,1.87944
"219",0.41434,0.0717258,0.277928,1.85255
"220",0.435682,0.00553954,0.280275,1.94199
"221",0.440342,-0.0147007,0.277938,2.02367
"222",0.429572,-0.0428818,0.27308,1.94339
"223",0.434602,-0.0415613,0.279248,1.91398
"224",0.409643,0.000585167,0.289465,1.90443
"225",0.401736,0.122861,0.291932,1.85072
"226",0.429859,0.0803262,0.284289,1.91602
"227",0.403074,0.0664846,0.297546,1.89686
"228",0.420963,-0.015199,0.280003,1.99293
"229",0.503422,-0.0265245,0.285381,1.92487
"230",0.495232,0.0637513,0.293944,1.95267
"231",0.490358,0.114711,0.294174,1.91473
"232",0.496633,0.103348,0.300871,1.8656
"233",0.520568,0.0959202,0.302319,1.75606
"234",0.467082,-0.0697685,0.292212,1.77529
"235",0.512039,-0.0330739,0.299623,1.78503
"236",0.495241,0.0611327,0.305548,1.69429
"237",0.520089,0.0394462,0.298342,1.87711
"238",0.509649,-0.0176237,0.300606,1.89686
"239",0.446753,-0.0617152,0.275996,1.78754
"240",0.482347,0.0922366,0.282525,1.73606
"241",0.483576,-0.00272574,0.284474,1.70692
"242",0.498539,0.0820622,0.311397,1.66642
"243",0.559859,0.0627245,0.306601,1.71074
"244",0.582011,0.0657141,0.340354,1.76412
"245",0.526512,0.0368853,0.324614,1.73646
"246",0.538796,0.0219121,0.298492,1.68958
"247",0.580725,0.0701807,0.312768,1.6426
"248",0.610649,0.0355525,0.313078,1.81536
"249",0.634175,0.117085,0.289951,2.00116
"250",0.609161,0.0883985,0.282596,2.02023
"251",0.564762,0.0857797,0.276065,1.87178
"252",0.550195,0.0651251,0.279951,1.77956
"253",0.559207,0.148248,0.269003,1.93501
"254",0.529441,0.177973,0.284973,2.01301
"255",0.52365,0.121083,0.274339,1.92223
"256",0.523751,0.119534,0.270619,1.90746
"257",0.544396,0.131894,0.263125,1.95218
"258",0.549056,0.0320438,0.263095,1.77741
"259",0.476539,0.134812,0.256816,1.89806
"260",0.466618,0.0909825,0.239833,1.79861
"261",0.413153,0.049212,0.250926,1.92321
"262",0.407849,0.0501756,0.261393,1.90796
"263",0.480223,0.0539384,0.262466,1.90472
"264",0.467716,0.0896241,0.29917,1.86377
"265",0.468074,0.147042,0.300604,1.71458
"266",0.4299,0.0920024,0.291297,1.67376
"267",0.398792,0.155521,0.291326,1.70659
"268",0.420214,0.191586,0.29226,1.70428
"269",0.456959,0.20742,0.293857,1.70872
"270",0.462733,0.154794,0.289003,1.80343
"271",0.464578,0.0870249,0.278982,2.00097
"272",0.459251,0.0792117,0.279567,1.98386
"273",0.475021,0.268743,0.2901,1.97822
"274",0.498236,0.0587686,0.283646,1.90361
"275",0.478427,0.0324375,0.285222,1.92618
"276",0.513164,0.0471973,0.288116,2.01325
"277",0.512775,-0.00451612,0.286446,1.94319
"278",0.508414,-0.0173201,0.30814,1.95097
"279",0.511534,0.0415283,0.304358,1.94781
"280",0.458041,-0.0504948,0.30399,1.80594
"281",0.473493,0.0761619,0.312237,1.84032
"282",0.454896,0.0714711,0.320737,1.82417
"283",0.483115,0.00495715,0.305977,1.85912
"284",0.460793,0.0328573,0.28441,1.92515
"285",0.438979,0.0289938,0.281687,1.69158
"286",0.433536,-0.0212488,0.275019,1.76455
"287",0.452909,0.0129875,0.27797,1.74362
"288",0.426656,0.0591434,0.283639,1.87477
"289",0.405575,0.0435882,0.270226,1.77688
"290",0.466668,-0.0342726,0.255552,1.7753
"291",0.456731,0.0396925,0.256025,1.95299
"292",0.4194,0.0978918,0.245622,1.99051
"293",0.353651,0.0464795,0.248227,1.86813
"294",0.388205,0.0720822,0.246364,1.7867
"295",0.36714,0.0175079,0.263165,1.78273
"296",0.440374,-0.00165479,0.263881,1.90872
"297",0.456596,0.0248292,0.257692,1.87167
"298",0.456265,-0.00306186,0.255193,1.82005
"299",0.460033,0.0322782,0.254797,1.87601
"300",0.41725,-0.0347425,0.240138,1.88731
"301",0.400077,0.0206063,0.24228,1.84066
"302",0.405014,0.0592272,0.270828,1.92012
"303",0.410577,0.0478405,0.264787,1.91045
"304",0.417814,-0.0581344,0.265361,1.94815
"305",0.4421,0.0582099,0.282591,1.9331
"306",0.50478,0.225644,0.290752,1.86244
"307",0.463402,0.243452,0.293851,1.89527
"308",0.482192,0.228333,0.307422,1.8031
"309",0.547581,0.200236,0.297992,1.81778
"310",0.55936,0.10745,0.27693,1.79123
"311",0.546099,0.013726,0.297373,1.7349
"312",0.503162,0.155287,0.314647,1.67141
"313",0.519858,0.112343,0.322082,1.59658
"314",0.526236,0.137798,0.328453,1.70235
"315",0.534117,0.102268,0.318918,1.66205
"316",0.540357,0.103446,0.326455,1.76957
"317",0.547326,0.0981072,0.284954,1.90301
"318",0.54715,-0.00968484,0.28441,1.89562
"319",0.518872,0.0849081,0.307335,1.77767
